PARKID_x,PARKID_y,geodesic distance (km)
LOS03,DEN02,1337.6087725135333
LOS03,DET04,3191.6917514248466
LOS03,DET05,3191.6917514248466
LOS03,DUN01,3434.050577253679
LOS03,DYE01,2537.5029766159296
LOS03,FTB01,3564.538576670101
LOS03,HOU02,2210.480447076862
LOS03,HOU03,2210.480447076862
LOS03,KAN06,2183.835123337467
LOS03,LAS01,366.78049479935714
LOS03,LBV01,3535.105819971348
MIA01,ANA01,3732.091200236174
MIA01,ARL01,1812.9656877800053
MIA01,ARL02,1812.9656877800053
MIA01,ARL03,1812.9656877800053
MIA01,ATL01,972.4494372160073
MIA01,ATL02,972.4494372160073
MIA01,ATL03,972.4494372160073
MIA01,BAL11,1535.9205711528523
MIA01,BAL12,1535.9205711528523
MIA01,BOS07,2020.29045696896
MIA01,BUF05,1902.1044939466344
MIA01,CHI10,1911.921733357871
MIA01,CHI11,1911.921733357871
MIA01,CHI12,1911.921733357871
MIA01,CIN08,1532.1956817089242
MIA01,CIN09,1532.1956817089242
MIA01,CLE07,1749.7103043253298
MIA01,CLE08,1749.7103043253298
MIA01,DEN01,2776.7820572649302
MIA01,DEN02,2776.7820572649302
MIA01,DET04,1855.1302057037137
MIA01,DET05,1855.1302057037137
MIA01,DUN01,357.05996073584504
MIA01,DYE01,2105.6646542653184
MIA01,FTB01,1043.1096595410295
MIA01,HOU02,1558.128829923413
MIA01,HOU03,1558.128829923413
MIA01,KAN06,1998.1823502077552
MIA01,LAS01,3510.1481233869777
MIA01,LBV01,317.72650737819856
MIA01,LOS03,3764.185821582286
MIA02,ANA01,3732.091200236174
MIA02,ARL01,1812.9656877800053
MIA02,ARL02,1812.9656877800053
MIA02,ARL03,1812.9656877800053
MIA02,ATL01,972.4494372160073
MIA02,ATL02,972.4494372160073
MIA02,ATL03,972.4494372160073
MIA02,BAL11,1535.9205711528523
MIA02,BAL12,1535.9205711528523
MIA02,BOS07,2020.29045696896
MIA02,BUF05,1902.1044939466344
MIA02,CHI10,1911.921733357871
MIA02,CHI11,1911.921733357871
MIA02,CHI12,1911.921733357871
MIA02,CIN08,1532.1956817089242
MIA02,CIN09,1532.1956817089242
MIA02,CLE07,1749.7103043253298
MIA02,CLE08,1749.7103043253298
MIA02,DEN01,2776.7820572649302
MIA02,DEN02,2776.7820572649302
MIA02,DET04,1855.1302057037137
MIA02,DET05,1855.1302057037137
MIA02,DUN01,357.05996073584504
MIA02,DYE01,2105.6646542653184
MIA02,FTB01,1043.1096595410295
MIA02,HOU02,1558.128829923413
MIA02,HOU03,1558.128829923413
MIA02,KAN06,1998.1823502077552
MIA02,LAS01,3510.1481233869777
MIA02,LBV01,317.72650737819856
MIA02,LOS03,3764.185821582286
MIL05,ANA01,2791.9495661356614
MIL05,ARL01,1397.9195608322248
MIL05,ARL02,1397.9195608322248
MIL05,ARL03,1397.9195608322248
MIL05,ATL01,1075.7017562557248
MIL05,ATL02,1075.7017562557248
MIL05,ATL03,1075.7017562557248
MIL05,BAL11,1035.310840468307
MIL05,BAL12,1035.310840468307
MIL05,BOS07,1381.4518530154946
MIL05,BUF05,737.7599746513663
